"","IC50","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50","PC51","PC52","PC53","PC54","PC55"
"BR:MCF7",6.12739379166667,-8.50228796474569,0.499397503657952,-3.86643065218361,3.86183929652052,-1.83463932712533,3.2038955188378,-4.03219247802277,-1.96227602182544,4.24759491741162,-2.76278763750028,0.344829040069643,-1.23011629878368,5.99339432217249,-11.1990729191827,16.2505343431701,-10.3407083593285,5.89368107192093,7.03727595362692,34.0936024936914,-68.2167928951419,5.66024810756173,8.74242238404804,-3.23511082742246,-1.86451703777802,-0.365143552642422,-3.25680126116086,-5.74979381673221,8.87729089879377,7.23543428397268,10.2582896044853,-11.4684664927727,-0.705109596664943,-4.41734121226239,-2.42140135590389,-0.491319157933642,-0.257057241787267,-0.117924408919392,5.92063410007627,0.739210773065158,1.59771227727418,1.08673520848309,1.17946109095577,-2.14353067265684,-0.417064634598838,-0.537548817656578,-0.410098503613366,-0.176493674564475,-0.0100544703338711,-0.660177135798676,-0.0624493736685496,0.915748045218053,1.58694434798864,1.30726576775117,-0.380850508688008,0.455752351099944
"BR:MDA_MB_231",5.60760755555556,-9.13887263287191,0.651940390741337,-3.40482921833358,4.23674991220391,-1.28760274409455,2.02144536914696,-4.45377316981544,-2.49710456513217,1.73667112360399,-2.00224703022741,-0.739217324868672,-0.82018615165609,0.331745833313614,-5.34668519657648,4.60218524410259,5.87903353942712,-2.53468017780293,-4.65407621651401,1.16586802506307,6.70456227782039,2.59525524022945,-0.299864154682361,4.43637533546957,3.5233988643532,15.3663429812755,2.04869861943776,10.0958044487511,0.996155493365291,66.8243600938347,-17.4684658909478,0.822276630410187,-4.31106552129427,9.16274120674778,-1.52699236960354,-0.979476747304565,-7.04991291203076,-4.01403340397144,-2.08680198052043,-1.3639068003164,2.96608746333066,-0.792273860612451,5.59223103149897,-2.59260270300145,-2.19738506934931,2.66412326093963,-0.782847790326519,1.08874717358705,-0.976806866008611,-1.24451342765803,-0.411089921606107,0.376027824660787,0.120421571498293,-1.70101531173097,1.23059300251411,0.881219163276117
"BR:HS578T",5.21477359259259,-9.76805350344793,1.40887969323468,-4.16538688356204,2.25513230156187,-1.45130933399648,3.37521772096608,-4.71521906855597,-1.8518911836865,1.80914208354062,-3.57490344375359,0.207893553314661,-1.34840600849933,1.21459146427328,-3.18547361397195,6.33718739744433,-0.35176522453415,-2.8151841688329,1.52950536421301,9.42602349317132,-13.128824886039,-2.50211519559413,-4.0252880692832,-3.17092160779259,2.49362723994564,3.06884610848861,-0.103203878937556,7.11430563400579,-9.5556797062864,-9.95362398753233,-22.8340330104777,28.7665477431915,-10.7137508363105,-3.4761208993985,17.2227748311348,-8.63304848946902,-1.54149591988953,14.2515075996807,-38.1976372677576,-16.4600972522022,-19.0762328444792,-15.6388313402014,3.9806705753378,1.7843552586871,-4.3153751391577,3.2257859054835,1.44336802806724,1.00342084318524,0.115996762622405,3.31671145183708,0.496230084649608,1.72089442647922,1.91424675180247,0.991847482498816,2.73267439539587,2.29296235165154
"BR:BT_549",5.53410577272727,-10.6638606536239,1.48362360030332,-3.64058866501349,3.58498987388472,-1.39333355237738,2.94177719173712,-4.82053385900196,-2.58799250612432,2.77377095378221,-1.99114930273946,-0.486694882834554,-1.59206315330486,-0.123733603876475,-1.70124278712418,1.72047073199395,2.35655377375675,-0.148056947184436,-2.87347560221367,1.63694451979344,1.3820465291083,-0.180753414862516,-1.74836971558857,3.24095095504943,1.47212325890015,-0.361426736746437,-2.39417314029904,3.28156607227932,-2.91002188461352,-0.659452864777464,-0.446053633855257,-2.08323388531017,-1.64268474934809,-1.42312854166155,-2.22610831663843,-1.25879943512618,3.45968207227169,0.24873962885627,-4.43507534449074,-1.39968017728405,3.05171706353306,11.4816351635575,-14.1979387919441,4.31350086641633,9.50615737534143,-14.9168629423179,31.1520609678302,45.5406469644063,2.24056232882951,-3.75631410164995,-13.2999393503432,0.732347593257552,-0.964400670361325,2.75153347992614,3.08122586326046,2.29070101168797
"BR:T47D",5.73332126923077,-10.4564852023899,1.52607717877759,-2.94062033755149,2.84573472025678,-0.986442297513423,2.49551464348274,-4.99137090421348,-2.15111257066191,1.77922482530909,-2.53525020307275,-0.947995384257068,0.681945966647222,0.419886387868925,-5.62020674379672,7.22057890173535,-1.22908937113161,-3.15665162627648,-0.185384898327029,6.21973618962296,-9.86965440718624,1.00105705226005,-3.71111842593321,-0.0918447636934497,0.774927851109431,-0.0103808915552083,2.94987375567454,6.18472578572741,-19.3699506234996,-15.233227265584,-33.2843529206863,30.9593881961986,-5.23991768417223,21.768226663087,-13.2625140428207,13.5164758422298,6.2345395896696,-15.6021357428052,23.6675017836308,19.876450974841,8.28867282368723,8.59562021066496,3.42969064790927,-0.492459367526974,-1.44330764833545,3.13510460539359,-0.292413948408622,-0.897188371491174,1.53768225478671,0.785120486402379,-1.53049067915492,-0.37840601476182,0.54840603621879,2.0977508179597,0.499355891542326,-0.240827672599296
"CNS:SF_268",5.93140672727273,-10.7400248539692,0.699598634289226,-2.65025860567446,3.07376674690652,-1.23934252006493,3.13808212131236,-4.11097658286587,-3.22656366890219,2.43730870310945,-2.33462804293458,-0.611522951668701,-1.30206784182419,-0.427479254285604,-1.89392333117865,1.39923606615313,1.40613076852858,-1.82830041561425,-2.4252865636727,1.99442712455244,2.0246287483225,-1.48381279632415,-2.39549183746203,-1.4814695090339,2.18731470629092,1.97515609316085,-0.136465280346028,3.16485321159095,-2.86381086747299,-0.377920792716504,0.454129213738866,-3.15949680074884,-2.96075343533173,1.73316615446916,-0.653808627371326,0.0504231218776664,-0.938096471414706,0.470031417859986,0.765203982150681,-2.98956068802937,6.16845318917888,0.80357216370553,-8.92982239471992,-0.653000397568206,11.6687275014062,-16.3813309892904,15.6114462203582,-8.54786715924311,2.52220002120514,29.2082980379921,38.9329452970739,-17.1294119196261,14.7549373340833,-7.71083531264337,1.6726605661907,2.95649066810154
"CNS:SF_295",5.9852576952381,-10.6461694659987,1.45963071712107,-3.53984375808883,3.9062086711915,-0.926279540542915,2.7658975664859,-4.30658154050336,-1.88322109972772,2.11024651323967,-2.19312482963979,2.9084908226262,-0.915695672995457,1.20703504924996,-2.25513610622247,-0.139165877333853,2.30940353809906,-0.204325993458569,-3.97557208503992,-0.334388128645814,1.61831914725758,-0.544117263023215,-3.09657080782605,1.5758268296509,2.98909999810603,-1.61173274435255,0.691027075469851,1.12240846590067,-5.04242757052721,-5.73965525621288,-2.05159730791596,-6.30074817981488,-0.255762111085286,-7.20510460404184,-7.13441513504487,-2.84636123734841,8.63675774099968,-0.590791817164762,-18.4776771734971,-17.8357933043909,13.620911667523,46.6804619871498,13.5602162039912,-24.8215373931779,2.5152355210629,16.3737632175584,-5.93675102519596,-2.44359361853781,-0.180367723619155,3.90816611139947,-1.94265249700167,-1.38351836558413,1.6945752496665,-4.69545981988508,-0.42398588710171,1.98823189680903
"CNS:SF_539",5.97249348598131,-9.98994503825973,1.14151990103389,-2.54590602905848,3.70506360715455,-0.727043815587899,2.93766498112555,-5.42236407484955,-2.84157049676264,3.01035663451073,-2.8774464667277,-0.939125968431033,0.30326546515213,-0.253530535973384,-4.03946102673171,0.608084936238162,5.76472792375153,-3.98436289890181,-2.27765686265749,2.14821331371107,4.06270671629932,-2.12388158080556,-0.491724114424853,-2.33688945189758,0.532703793504919,0.427385602560126,-4.74826757202349,0.741736405018951,-7.74882705607411,-7.6374669559578,-5.43813940392904,-9.43840355509565,10.0823135161619,8.05993189217523,-12.3856227006948,-17.3706612189176,-6.54499042176154,-11.9414614533163,30.5385204075448,-46.0976900506349,-18.36128413424,-10.8606425879282,7.30161078814979,-3.26557732187645,-6.16596876467865,3.48187104225134,2.02639954128273,4.57304472214271,-1.5513152476722,0.216032403956225,-0.471012094626569,1.65989304990747,1.25130149552801,-2.36436807483637,1.35939486817396,2.86308867645785
"CNS:SNB_19",4.10143498130841,-11.5391798838047,0.673014200692918,-3.7752005139167,3.55538568406846,-2.18832853401941,3.16998173696922,-5.51878607884311,-2.69224113730098,2.58604619211982,-2.45441796136805,-3.43098526290428,-7.89455738130229,3.60414848398365,11.1444468854489,0.13670124404618,-0.726485413002903,-0.0460613550374085,0.0966349753869134,-0.245882549152918,0.993413753432109,0.607183693211042,-1.20973669103573,0.893337557305635,0.789120294214279,0.98108501705846,-0.922424222158552,0.290828167689083,-1.58447518352156,0.425951471519129,-0.245245302345693,0.41235255488335,0.64905446474826,-0.167055104499743,-1.31604693623125,-2.27900514984691,-0.0881842855529844,-0.348336646067602,-1.82226289639136,-0.492338906265254,-0.498272590634877,-0.718621811226446,-1.64171591386446,2.78075574123521,2.10870628548992,-2.28725926426398,-0.965387257428204,0.200472465695852,1.36644218298382,-0.766174982117234,0.0616719632438029,-1.06183306941886,-0.309394573422282,4.73081325527948,-47.4498382659348,9.34990404027331
"CNS:SNB_75",5.83917676237624,-10.7631203073883,1.26733788582213,-4.24652827760815,3.66252769362081,-1.24209213274698,2.94590906109226,-4.87080845102899,-1.85755517883161,1.89528257961603,-0.910271260842571,-1.05493243768681,-0.971686056919917,-0.446152250298275,-3.39262212093718,0.237751717753416,3.05192163495782,0.373557773303593,-3.87484411130217,-0.145912507865839,0.919103069996331,0.0939284511331993,-1.71130028958386,1.95230811401814,3.07673048355183,3.9892801499545,0.176336024856663,1.55931892293961,0.434269987579812,-3.15079098563646,0.630046427740771,-0.715442777385222,1.23969033878016,3.65817385522873,3.24179912263628,-3.01243872475211,0.8695599953476,-1.57354788348813,-2.81197912185202,-3.41113889808098,0.314873597588419,3.54388892110653,-4.86676378047631,-0.138071694077205,2.95960204382361,-11.7233622875584,-1.91946871457211,-10.5077934205713,39.9378737049637,-40.6101693920099,9.77221720256752,-9.81524639244122,2.75231921521229,-3.3257222827703,3.65250022668841,3.8359135760412
"CNS:U251",5.31072611214953,-9.26949321561592,0.692086520003279,-3.57519620243519,4.16051299799234,-1.85454011475192,2.3756623240539,-6.55897308387824,-4.7022813269114,4.4181866341163,-3.85213804616476,-12.6557947594466,-35.1209649584469,19.0625562119035,56.1664482066222,-2.39539207607059,-8.62412294909279,1.25344264712923,6.56267364525126,-4.87820875739921,-3.03670188912237,1.33717589777642,0.609795249240637,-1.56063754431459,-0.606648784868807,-1.4146217740761,-1.33376780147869,-0.881228533981832,1.07724710882381,1.46361022058565,-1.23229580771228,0.471781492443097,-0.47675229724578,0.778596191241855,-1.28449594908924,1.79627765937451,-0.421175540999694,-0.12265967850024,1.06967218547337,-0.545512150403277,0.65850063345502,-1.32236022104538,0.745602586315235,0.100323792136381,-0.460489898036547,1.18489532974363,-1.09307913797462,0.166712984290939,1.01257521902287,0.266435222364272,-0.671469886454829,0.182286340171575,0.171557436983424,1.55399253384863,-10.9669281020509,3.3870035502024
